Tiempo,Referencia,Salida_Planta,z0,z1,z2,z3
0.424,0,2.68148e-06,-1.75408e-06,-0.000147075,-0.00394685,-0.0216
0.428,0,2.77571e-06,-1.88357e-06,-0.000151023,-0.00373917,-0.0144
0.432,0,2.83515e-06,-2.00019e-06,-0.000153648,-0.0034974,-0.0072
0.436,0,2.85624e-06,-2.10144e-06,-0.000154868,-0.0032223,1.73472e-18
0.44,0,2.83564e-06,-2.18487e-06,-0.00015461,-0.00291463,0.0072
0.444,0,2.77031e-06,-2.24809e-06,-0.000152805,-0.00257515,0.0144
0.448,0,2.65755e-06,-2.28878e-06,-0.000149392,-0.00220465,0.0216
0.452,0,2.49502e-06,-2.30478e-06,-0.000144317,-0.00180394,0.0288
0.456,0,2.28086e-06,-2.29405e-06,-0.000137533,-0.00137388,0.036
0.46,0,2.0137e-06,-2.25478e-06,-0.000129004,-0.000915388,0.0432
0.464,0,1.69274e-06,-2.18537e-06,-0.000118701,-0.000429451,0.0504
0.468,0,1.31778e-06,-2.0845e-06,-0.000106608,8.28468e-05,0.0576
0.472,0,8.89261e-07,-1.95124e-06,-9.27219e-05,0.000620296,0.0648
0.476,0,4.08326e-07,-1.78505e-06,-7.70534e-05,0.00118152,0.072
0.48,0,-1.23159e-07,-1.58594e-06,-5.9634e-05,0.00176489,0.0792
0.484,0,-7.02572e-07,-1.35461e-06,-4.05192e-05,0.00236846,0.0864
0.488,0,-1.32652e-06,-1.09264e-06,-1.97985e-05,0.00298974,0.0936
0.492,0,-1.99084e-06,-8.02912e-07,2.38959e-06,0.0036254,0.1008
0.496,0,-2.69059e-06,-4.90246e-07,2.58243e-05,0.0042705,0.108
0.5,0,-3.42011e-06,-1.63043e-07,5.01206e-05,0.00491632,0.1152
0.504,0,-4.17304e-06,1.6059e-07,7.43696e-05,0.0055395,0.1224
0.508,0,-4.94256e-06,4.22032e-07,9.38723e-05,0.00586734,0.1152
0.512,0,-5.72149e-06,6.77144e-07,0.000112371,0.00612217,0.108
0.516,0,-6.50252e-06,9.36478e-07,0.000130261,0.00632236,0.1008
0.52,0,-7.27822e-06,1.20275e-06,0.00014758,0.00647418,0.0936
0.524,0,-8.04103e-06,1.47617e-06,0.000164279,0.00658097,0.0864
0.528,0,-8.78337e-06,1.75577e-06,0.000180275,0.0066449,0.0792
0.532,0,-9.49757e-06,2.0399e-06,0.000195471,0.00666755,0.072
0.536,0,-1.0176e-05,2.32646e-06,0.000209763,0.00665016,0.0648
